,Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
220,Darron Gibson,2007,Midfielder,0,0,0,Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
221,Mark Randall,2007,Midfielder,1,1,0,England,0,0,0,0,0,0.0,0,0,1,1,100,0,1,0,0,0,0,100,0,1,0,0,0,0,,,,0,,,0,8,8.0,0,0,0,0,1,,0,0,0,1,,,,,,,,
222,Gary McSheffrey,2007,Forward,32,8,15,England,3,0,0,3,1,0.09,3,0,50,12,24,0,45,16,19,28,3,,,,,,,,,,,,,,3,544,17.0,0,182,,,,,4,0,47,7,,,,,,,,
223,Park Ji-Sung,2007,Midfielder,12,9,1,South Korea,1,1,0,0,0,0.08,0,0,9,2,22,0,27,2,11,4,0,78,41,51,43,7,5,7,,,,0,,,1,229,19.08,0,19,58,0,2,,0,0,3,0,,,,,,,,
224,Darren Dennehy,2007,Defender,0,0,0,Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
225,Sam Ashton,2007,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
226,Felipe Caicedo,2007,Forward,10,3,5,Ecuador,0,0,0,0,0,0.0,0,0,10,3,30,0,5,2,1,3,2,,,,,,,,,,,,,,0,87,8.7,0,1,,,,,1,0,10,0,,,,,,,,
227,Stephen Pearson,2007,Midfielder,24,1,17,Scotland,0,0,0,0,0,0.0,0,0,20,5,25,0,60,6,24,38,4,72,160,111,106,26,14,11,,,,0,,,0,795,33.13,0,42,33,2,39,,0,0,23,2,,,,,,,,
228,Carlton Cole,2007,Forward,31,10,13,England,4,1,1,2,1,0.13,0,0,66,19,29,0,23,16,4,20,4,,,,,,,,,,,,,,7,646,20.84,0,27,,,,,9,0,85,16,,,,,,,,
229,Troy Archibald-Henville,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
230,James McFadden,2007,Midfielder,24,6,10,Scotland,6,0,1,5,1,0.25,2,1,43,17,40,0,18,10,6,8,1,67,69,91,169,29,14,27,,,,0,,,4,332,13.83,0,39,21,3,6,,4,0,32,13,,,,,,,,
231,Martin Laursen,2007,Defender,38,16,10,Denmark,6,2,3,0,1,,,,,,,,84,3,72,739,266,77,217,324,153,1,169,81,8,50,1,0,0,0,2,1011,26.61,0,0,0,0,75,,1,0,34,0,,,,,,,,
232,Rio Ferdinand,2007,Defender,35,24,5,England,2,0,1,1,0,,,,,,,,57,2,47,457,132,84,215,134,63,11,48,22,17,20,0,0,0,3,1,1546,44.17,0,5,60,1,177,,4,0,13,1,,,,,,,,
233,Lomana Lua Lua,2007,Forward,0,0,0,The Democratic Republic Of Congo,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
234,Franco Di Santo,2007,Forward,0,0,0,Argentina,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
235,Craig Gardner,2007,Midfielder,23,10,7,England,3,0,2,1,0,0.13,0,2,15,7,47,0,56,3,24,76,20,73,82,75,86,6,5,13,,,,1,,,0,455,19.78,0,33,18,1,31,,4,0,29,2,,,,,,,,
236,David Amoo,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
237,Marcus Hahnemann,2007,Goalkeeper,38,10,22,United States,,,,,,,,,,,,,,,,,,,,,,,,,8,66,0,1,,,0,912,24.0,,,,,307,0,3,0,1,,151,2,28,55,72,0,119,343
238,Nicky Butt,2007,Midfielder,35,11,16,England,3,0,2,1,1,0.09,0,0,31,11,35,0,151,8,93,138,25,72,272,247,211,16,32,33,,,,0,,,1,1636,46.74,0,19,11,4,143,,13,0,60,1,,,,,,,,
239,Kyle Bartley,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
240,Javier Garrido,2007,Defender,27,12,8,Spain,0,0,0,0,0,,,,,,,,45,3,27,124,23,93,116,78,67,3,7,18,8,33,0,0,0,0,1,848,31.41,0,63,14,0,68,,4,0,15,2,,,,,,,,
241,Jens Lehmann,2007,Goalkeeper,7,5,1,Germany,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,2,,,0,105,15.0,,,,,23,0,1,0,0,,17,0,3,11,10,0,54,49
242,Pepe Reina,2007,Goalkeeper,38,21,4,Spain,,,,,,,,,,,,,,,,,,,,,,,,,18,28,0,0,,,1,856,22.53,,,,,278,0,2,0,0,,57,1,22,38,39,0,205,280
243,Gunnar Nielsen,2007,Goalkeeper,0,0,0,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
244,Craig Eastmond,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
245,John Ruddy,2007,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
246,Josip Skoko,2007,Midfielder,12,2,8,Australia,0,0,0,0,0,0.0,0,0,8,3,38,0,34,1,16,14,1,79,64,56,39,4,3,5,,,,0,,,0,301,25.08,0,13,23,0,17,,4,0,13,0,,,,,,,,
247,Jimmy Bullard,2007,Midfielder,17,6,8,England,2,0,2,0,2,0.12,0,1,44,10,23,0,25,10,15,14,3,80,94,65,75,10,1,5,,,,0,,,3,863,50.76,0,117,29,1,106,,0,0,10,1,,,,,,,,
248,Cesc Fàbregas,2007,Midfielder,32,20,2,Spain,7,0,5,2,3,0.22,0,0,98,27,28,0,89,30,50,44,7,75,198,180,192,37,6,16,,,,0,,,17,2318,72.44,0,208,27,22,162,,9,0,29,1,,,,,,,,
