,Name,Club,Year,Position,Nationality
384,Ben Hamer,Leicester City,2018,Goalkeeper,England
385,Eldin Jakupovic,Leicester City,2018,Goalkeeper,Switzerland
386,Danny Ward,Leicester City,2018,Goalkeeper,Wales
387,Danny Simpson,Leicester City,2018,Defender,England
388,Ben Chilwell,Leicester City,2018,Defender,England
389,Wes Morgan,Leicester City,2018,Defender,Jamaica
390,Robert Huth,Leicester City,2018,Defender,Germany
391,Harry Maguire,Leicester City,2018,Defender,England
392,Aleksandar Dragovic,Leicester City,2018,Defender,Austria
393,Christian Fuchs,Leicester City,2018,Defender,Austria
394,Yohan Benalouane,Leicester City,2018,Defender,Tunisia
395,Josh Knight,Leicester City,2018,Defender,England
396,Sam Hughes,Leicester City,2018,Defender,England
397,Daniel Amartey,Leicester City,2018,Defender,Ghana
398,Ricardo Pereira,Leicester City,2018,Defender,Portugal
399,Jonny Evans,Leicester City,2018,Defender,Northern Ireland
400,Callum Elder,Leicester City,2018,Defender,Australia
401,Darnell Johnson,Leicester City,2018,Defender,England
402,Filip Benkovic,Leicester City,2018,Defender,Croatia
403,Caglar Soyuncu,Leicester City,2018,Defender,Turkey
404,Elliott Moore,Leicester City,2018,Defender,England
405,Demarai Gray,Leicester City,2018,Midfielder,England
406,Marc Albrighton,Leicester City,2018,Midfielder,England
407,Adrien Silva,Leicester City,2018,Midfielder,Portugal
408,Vicente Iborra,Leicester City,2018,Midfielder,Spain
409,Matty James,Leicester City,2018,Midfielder,England
410,Wilfred Ndidi,Leicester City,2018,Midfielder,Nigeria
411,Harvey Barnes,Leicester City,2018,Midfielder,England
412,Hamza Choudhury,Leicester City,2018,Midfielder,England
413,James Maddison,Leicester City,2018,Midfielder,England
414,Andy King,Leicester City,2018,Midfielder,Wales
415,Nampalys Mendy,Leicester City,2018,Midfielder,France
416,Bartosz Kapustka,Leicester City,2018,Midfielder,Poland
417,Rachid Ghezzal,Leicester City,2018,Midfielder,Algeria
418,Connor Barrett,Leicester City,2018,Midfielder,England
419,Thakgalo Leshabela,Leicester City,2018,Midfielder,South Africa
420,Youri Tielemans,Leicester City,2018,Midfielder,Belgium
421,Kelechi Iheanacho,Leicester City,2018,Forward,Nigeria
422,Jamie Vardy,Leicester City,2018,Forward,England
423,Shinji Okazaki,Leicester City,2018,Forward,Japan
424,George Thomas,Leicester City,2018,Forward,Wales
425,Fousseni Diabate,Leicester City,2018,Forward,Mali
426,Layton Ndukwu,Leicester City,2018,Forward,England
427,Ahmed Musa,Leicester City,2018,Forward,Nigeria
428,Islam Slimani,Leicester City,2018,Forward,Algeria
429,Leonardo Ulloa,Leicester City,2018,Forward,Argentina
430,Josh Gordon,Leicester City,2018,Forward,England
431,Willy Caballero,Chelsea,2018,Goalkeeper,Argentina
432,Thibaut Courtois,Chelsea,2018,Goalkeeper,Belgium
433,Eduardo,Chelsea,2018,Goalkeeper,Portugal
434,Jared Thompson,Chelsea,2018,Goalkeeper,England
435,Bradley Collins,Chelsea,2018,Goalkeeper,England
436,Marcin Bulka,Chelsea,2018,Goalkeeper,Poland
437,Robert Green,Chelsea,2018,Goalkeeper,England
438,Kepa Arrizabalaga,Chelsea,2018,Goalkeeper,Spain
439,Jamie Cumming,Chelsea,2018,Goalkeeper,England
440,Antonio Rudiger,Chelsea,2018,Defender,Germany
441,Marcos Alonso,Chelsea,2018,Defender,Spain
442,Victor Moses,Chelsea,2018,Defender,Nigeria
443,Davide Zappacosta,Chelsea,2018,Defender,Italy
444,Gary Cahill,Chelsea,2018,Defender,England
445,Andreas Christensen,Chelsea,2018,Defender,Denmark
446,Cesar Azpilicueta,Chelsea,2018,Defender,Spain
447,David Luiz,Chelsea,2018,Defender,Brazil
448,Emerson,Chelsea,2018,Defender,Italy
449,Ethan Ampadu,Chelsea,2018,Defender,Wales
450,Trevoh Chalobah,Chelsea,2018,Defender,England
451,Kurt Zouma,Chelsea,2018,Defender,France
452,Michael Hector,Chelsea,2018,Defender,Jamaica
453,Fikayo Tomori,Chelsea,2018,Defender,England
454,Tomas Kalas,Chelsea,2018,Defender,Czech Republic
455,Ola Aina,Chelsea,2018,Defender,Nigeria
456,Cristian Cuevas,Chelsea,2018,Defender,Chile
457,Matt Miazga,Chelsea,2018,Defender,United States
458,Abdul Rahman Baba,Chelsea,2018,Defender,Ghana
459,Marc Guehi,Chelsea,2018,Defender,England
460,Cesc Fabregas,Chelsea,2018,Midfielder,Spain
461,Daniel Drinkwater,Chelsea,2018,Midfielder,England
462,N'Golo Kante,Chelsea,2018,Midfielder,France
