Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Adel Taarabt,2011,Midfielder,27,8,14,Morocco,2,0,2,0,3,0.07,0,1,88,31,35,0,24,32,35,2,0,83,152,115,159,38,3,9,,,,1,,,3,1011,37.44,3,148,25,18,59,,2,1,19,1,,,,,,,,
Zat Knight,2011,Defender,25,6,15,England,0,0,0,0,0,,,,,,,,46,4,49,217,88,76,79,82,36,2,26,13,2,45,0,1,2,0,0,551,22.04,0,1,0,2,65,,1,0,8,0,,,,,,,,
Tom Soares,2011,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Yves Ma-Kalambay,2011,Goalkeeper,0,0,0,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Steven Gerrard,2011,Midfielder,18,5,7,England,5,0,2,3,1,0.28,0,1,31,11,35,1,24,10,17,18,5,71,76,49,47,6,10,5,,,,0,,,2,895,49.72,6,105,24,12,82,,0,0,8,4,,,,,,,,
Carlo Cudicini,2011,Goalkeeper,0,0,0,Italy,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Petros Skapetis,2011,Forward,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Steven Caulker,2011,Defender,26,9,10,England,0,0,0,0,2,,,,,,,,35,7,31,181,48,69,83,95,58,2,44,30,10,32,0,0,1,2,1,1600,61.54,1,5,0,0,85,,2,0,14,0,,,,,,,,
Demba Ba,2011,Forward,34,16,10,Senegal,16,4,10,2,6,0.47,2,1,109,45,41,7,14,28,18,19,7,,,,,,,,,,,,,,2,771,22.68,0,10,,,,,1,0,27,27,,,,,,,,
Michael Essien,2011,Midfielder,14,5,4,Ghana,0,0,0,0,0,0.0,0,0,20,3,15,0,21,7,12,19,5,67,53,45,48,5,6,7,,,,0,,,1,669,47.79,0,9,11,0,33,,3,0,17,1,,,,,,,,
Míchel Salgado,2011,Defender,9,1,5,Spain,0,0,0,0,0,,,,,,,,26,0,13,32,11,62,24,33,40,1,4,9,0,14,0,0,0,0,0,189,21.0,0,15,27,0,11,,4,0,10,1,,,,,,,,
Michael Ihiekwe,2011,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Josh Dawkin,2011,Midfielder,0,0,0,Wales,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Gervinho,2011,Forward,28,16,6,Cote D'Ivoire,4,0,2,2,0,0.14,0,0,40,17,43,11,25,9,20,4,0,,,,,,,,,,,,,,6,615,21.96,10,51,,,,,0,1,10,6,,,,,,,,
Roarie Deacon,2011,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Albert Crusat,2011,Midfielder,15,2,9,Spain,1,0,0,1,1,0.07,0,0,8,5,63,0,10,2,5,3,0,50,25,21,26,4,0,3,,,,0,,,0,160,10.67,1,27,11,2,6,,1,0,4,3,,,,,,,,
Dorus de Vries,2011,Goalkeeper,4,0,2,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,0,,,0,81,20.25,,,,,32,0,0,0,0,,12,0,3,5,1,3,19,26
Trevor Carson,2011,Goalkeeper,0,0,0,Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Karim Rekik,2011,Defender,0,0,0,Netherlands,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Shay Given,2011,Goalkeeper,32,5,11,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,8,45,0,3,,,0,541,16.91,,,,,186,0,1,0,0,,98,0,11,32,22,8,72,322
Andrew Surman,2011,Midfielder,25,7,10,England,4,1,2,1,1,0.16,0,0,40,11,28,3,31,9,27,27,6,68,62,52,71,7,7,14,,,,0,,,0,908,36.32,0,77,27,11,43,,1,0,12,0,,,,,,,,
Danny Shittu,2011,Defender,0,0,0,Nigeria,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
John Guidetti,2011,Forward,0,0,0,Sweden,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Carl Ikeme,2011,Goalkeeper,1,0,1,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,,0,11,11.0,,,,,4,0,0,0,0,,4,0,0,1,1,0,4,2
Taylor Parmenter,2011,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Connor Wickham,2011,Forward,16,5,9,England,1,0,0,1,1,0.06,0,0,15,4,27,1,10,6,6,6,1,,,,,,,,,,,,,,0,161,10.06,1,8,,,,,0,0,12,6,,,,,,,,
Jermaine Beckford,2011,Forward,2,1,1,Jamaica,0,0,0,0,0,0.0,0,0,2,1,50,0,0,0,0,0,0,,,,,,,,,,,,,,0,15,7.5,1,1,,,,,0,0,1,0,,,,,,,,
Stephen Kelly,2011,Defender,24,9,9,Ireland,0,0,0,0,0,,,,,,,,35,4,39,110,37,83,70,67,57,4,17,25,4,31,0,0,0,0,0,888,37.0,1,55,20,0,50,,0,0,11,2,,,,,,,,
Li Ke,2011,Defender,1,0,1,China,0,0,0,0,0,,,,,,,,4,0,1,3,0,75,5,4,2,0,0,1,0,1,0,0,0,0,0,18,18.0,0,9,33,0,1,,0,0,0,0,,,,,,,,
Steve Harper,2011,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cauley Woodrow,2011,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Daniel Ayala,2011,Defender,7,3,1,Spain,0,0,0,0,0,,,,,,,,20,0,4,49,15,60,28,25,22,0,5,8,1,7,1,0,0,0,0,238,34.0,0,0,0,0,26,,2,0,8,0,,,,,,,,
Danny Gabbidon,2011,Defender,17,3,12,Wales,0,0,0,0,0,,,,,,,,28,0,32,188,63,79,67,78,57,1,39,37,2,27,1,1,0,0,0,422,24.82,0,2,50,0,30,,1,0,6,0,,,,,,,,
Danny Wilson,2011,Defender,0,0,0,Scotland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Aaron McCarey,2011,Goalkeeper,0,0,0,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sam Walker,2011,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Manuel Almunia,2011,Goalkeeper,0,0,0,Spain,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Taye Taiwo,2011,Defender,15,5,9,Nigeria,1,0,0,1,0,,,,,,,,22,8,30,56,10,82,67,37,37,6,5,9,3,27,0,0,0,0,2,435,29.0,2,26,23,0,34,,1,0,8,0,,,,,,,,
Petr Cech,2011,Goalkeeper,34,15,9,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,10,39,0,1,,,0,758,22.29,,,,,211,0,0,0,0,,84,0,15,59,26,36,188,280
Declan Rudd,2011,Goalkeeper,2,0,2,England,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,,,0,34,17.0,,,,,10,0,0,0,0,,6,1,1,1,0,3,10,14
Brede Hangeland,2011,Defender,38,14,14,Norway,0,0,0,0,0,,,,,,,,53,0,79,263,85,77,148,162,84,13,79,34,11,51,0,0,0,2,0,1817,47.82,0,1,0,4,125,,7,0,25,0,,,,,,,,
Ronald Zubar,2011,Defender,15,1,9,France,1,1,0,0,0,,,,,,,,30,3,42,66,15,70,59,71,49,7,19,9,1,31,0,0,0,0,0,494,32.93,0,21,19,0,17,,4,1,13,1,,,,,,,,
